MSOA21CD,n_oas,n_diff,disagree_pct
E02000001,34,1,2.941176470588235
E02000002,22,3,13.636363636363635
E02000003,30,2,6.666666666666667
E02000004,19,4,21.052631578947366
E02000005,29,1,3.4482758620689653
E02000007,26,1,3.8461538461538463
E02000008,36,2,5.555555555555555
E02000009,35,0,0.0
E02000010,25,0,0.0
E02000011,19,3,15.789473684210526
E02000012,26,0,0.0
E02000013,25,1,4.0
E02000014,29,3,10.344827586206897
E02000015,24,0,0.0
E02000016,28,2,7.142857142857142
E02000017,23,0,0.0
E02000018,27,2,7.4074074074074066
E02000019,24,0,0.0
E02000020,37,1,2.7027027027027026
E02000021,23,0,0.0
E02000022,24,2,8.333333333333332
E02000023,20,0,0.0
E02000024,32,3,9.375
E02000025,28,4,14.285714285714285
E02000026,21,2,9.523809523809524
E02000027,29,12,41.37931034482759
E02000028,21,5,23.809523809523807
E02000029,27,6,22.22222222222222
E02000030,28,3,10.714285714285714
E02000031,25,3,12.0
E02000032,22,6,27.27272727272727
E02000033,24,5,20.833333333333336
E02000034,27,6,22.22222222222222
E02000035,26,2,7.6923076923076925
E02000036,30,6,20.0
E02000037,28,5,17.857142857142858
E02000038,30,6,20.0
E02000039,19,1,5.263157894736842
E02000040,26,2,7.6923076923076925
E02000041,25,3,12.0
E02000042,34,3,8.823529411764707
E02000043,21,3,14.285714285714285
E02000044,23,1,4.3478260869565215
E02000045,31,5,16.129032258064516
E02000046,20,3,15.0
E02000047,33,3,9.090909090909092
E02000048,27,8,29.629629629629626
E02000049,32,2,6.25
E02000050,30,2,6.666666666666667
E02000051,27,4,14.814814814814813
E02000052,32,3,9.375
E02000054,21,0,0.0
E02000055,31,6,19.35483870967742
E02000056,28,0,0.0
E02000057,20,3,15.0
E02000058,30,5,16.666666666666664
E02000059,35,2,5.714285714285714
E02000060,26,5,19.230769230769234
E02000061,24,3,12.5
E02000062,20,2,10.0
E02000063,21,1,4.761904761904762
E02000064,20,2,10.0
E02000065,23,2,8.695652173913043
E02000066,27,2,7.4074074074074066
E02000067,30,1,3.3333333333333335
E02000068,22,1,4.545454545454546
E02000069,23,5,21.73913043478261
E02000070,25,2,8.0
E02000071,22,3,13.636363636363635
E02000072,38,9,23.684210526315788
E02000073,32,6,18.75
E02000074,27,0,0.0
E02000075,25,7,28.000000000000004
E02000077,23,1,4.3478260869565215
E02000078,24,4,16.666666666666664
E02000079,26,6,23.076923076923077
E02000080,28,5,17.857142857142858
E02000081,25,2,8.0
E02000082,27,5,18.51851851851852
E02000083,35,2,5.714285714285714
E02000084,33,1,3.0303030303030303
E02000085,24,7,29.166666666666668
E02000086,22,4,18.181818181818183
E02000087,24,2,8.333333333333332
E02000088,24,6,25.0
E02000089,24,0,0.0
E02000090,31,8,25.806451612903224
E02000091,34,4,11.76470588235294
E02000092,21,2,9.523809523809524
E02000093,30,2,6.666666666666667
E02000094,28,0,0.0
E02000095,25,2,8.0
E02000096,21,1,4.761904761904762
E02000097,24,0,0.0
E02000098,21,2,9.523809523809524
E02000099,24,2,8.333333333333332
E02000100,22,3,13.636363636363635
E02000101,26,3,11.538461538461538
E02000102,21,0,0.0
E02000103,26,3,11.538461538461538
